Layer,L2,Effect,Composite,Targeted
25,89.4506,0.2139,19.1297,star
24,88.7309,0.2066,18.3346,star
23,88.9217,0.201,17.8746,star
22,86.8687,0.1999,17.3673,
21,85.5685,0.1974,16.889,
20,84.6123,0.1958,16.5646,
19,83.1963,0.1885,15.6818,
18,83.1733,0.1841,15.3155,
17,83.1298,0.1825,15.1721,
13,83.0127,0.1793,14.8853,
14,83.0938,0.1768,14.6881,
15,83.0955,0.1763,14.6536,
16,83.1164,0.1738,14.4444,
10,82.791,0.1699,14.0695,
3,88.4489,0.1579,13.968,
12,82.4538,0.1686,13.9039,
11,82.7593,0.1656,13.7051,
2,86.26,0.1537,13.2615,
4,84.9195,0.1536,13.0445,
9,82.6457,0.1553,12.834,
8,82.5581,0.1528,12.6138,
7,82.826,0.1498,12.4033,
6,82.9019,0.1435,11.8988,
5,82.7793,0.138,11.4239,
27,37.9316,0.2294,8.703,
26,34.0177,0.2303,7.8359,
1,25.3877,0.1462,3.7111,
0,3.5052,0.2292,0.8032,
